        2       1      27       5       1       2
 CO2_6-31G                                                                       
 aoints SIFS file created by argos.      colosse1          12:04:00.930 23-Jun-14
       27
     a
        2    4096    3272    4096    2700
     1C__1s    2C__1s    3C__1s    4C__2p    5C__2p    6C__2p    7C__2p    8C__2p
     9C__2p   10O__1s   11O__1s   12O__1s   13O__2p   14O__2p   15O__2p   16O__2p
    17O__2p   18O__2p   19O__1s   20O__1s   21O__1s   22O__2p   23O__2p   24O__2p
    25O__2p   26O__2p   27O__2p
       -1
   4.178708593666E-01  18   6
  -7.649206736212E-01  16   7
  -7.649206736212E-01  17   8
  -2.885727177739E-01  18   9
  -2.192082320000E+00  10  10
  -5.122675114348E-01  11  10
  -2.192082320000E+00  11  11
  -3.666910035040E-01  12  10
  -1.673963438066E+00  12  11
  -2.192082320000E+00  12  12
   7.270778062967E-02  15  10
   4.960752843665E-01  15  11
   4.825832786071E-01  15  12
  -2.192082320000E+00  13  13
  -2.192082320000E+00  14  14
  -2.192082320000E+00  15  15
   1.001900095342E-02  18  10
   3.290897243406E-01  18  11
   9.622401135333E-01  18  12
  -1.099374530415E+00  16  13
  -1.099374530415E+00  17  14
  -1.099374530415E+00  18  15
  -2.192082320000E+00  16  16
  -2.192082320000E+00  17  17
  -2.192082320000E+00  18  18
   9.776686565420E-06  19   1
   5.437831834036E-02  19   2
   1.161419000582E-01  19   3
   1.101636801282E-01  19   6
   2.076248303576E-01  19   9
   4.992750346172E-03  20   1
   2.844210043586E-01  20   2
   5.723444328000E-01  20   3
   4.812719997819E-01  20   6
   9.870977340907E-01  20   9
   9.140718520092E-03  21   1
   3.108357418818E-01  21   2
   7.861608483276E-01  21   3
   5.295425217982E-01  21   6
   1.416862993471E+00  21   9
  -9.766062956793E-03  24   1
  -2.472359343108E-01  24   2
  -8.247573832602E-02  24   3
   1.513640916752E-01  22   4
   1.513640916752E-01  23   5
  -3.404345063311E-01  24   6
   3.164883690711E-01  22   7
   3.164883690711E-01  23   8
   1.388700129185E-01  24   9
  -1.135873229423E-02  27   1
  -1.964515820537E-01  27   2
   1.458427186419E-03  27   3
   2.056534895740E-01  25   4
   2.056534895740E-01  26   5
  -4.178708593666E-01  27   6
   7.649206736212E-01  25   7
   7.649206736212E-01  26   8
   2.885727177739E-01  27   9
   2.727420716405E-08  19  11
   2.253768020749E-03  19  12
   1.354030063700E-07  19  15
   1.000993770749E-02  19  18
  -2.727420716405E-08  20  10
   1.654285171520E-02  20  12
   2.350084646048E-05  20  15
   6.436434447759E-02  20  18
  -2.253768020749E-03  21  10
  -1.654285171520E-02  21  11
  -1.571914125241E-02  21  15
   7.183607825020E-02  21  18
   1.354030063700E-07  24  10
   2.350084646048E-05  24  11
  -1.571914125241E-02  24  12
   1.017762720906E-02  22  16
   1.017762720906E-02  23  17
  -5.433715942423E-02  24  18
   1.000993770749E-02  27  10
   6.436434447759E-02  27  11
   7.183607825020E-02  27  12
  -1.017762720906E-02  25  13
  -1.017762720906E-02  26  14
   5.433715942423E-02  27  15
   2.192082320000E+00  19  19
   5.122675114348E-01  20  19
   2.192082320000E+00  20  20
   3.666910035040E-01  21  19
   1.673963438066E+00  21  20
   2.192082320000E+00  21  21
   7.270778062967E-02  24  19
   4.960752843665E-01  24  20
   4.825832786071E-01  24  21
   2.192082320000E+00  22  22
   2.192082320000E+00  23  23
   2.192082320000E+00  24  24
   1.001900095342E-02  27  19
   3.290897243406E-01  27  20
   9.622401135333E-01  27  21
   1.099374530415E+00  25  22
   1.099374530415E+00  26  23
   1.099374530415E+00  27  24
   2.192082320000E+00  25  25
   2.192082320000E+00  26  26
   2.192082320000E+00  27  27
      78     80      0      2      3      0      1      2
   0.000000000000E+00
   1.062934819859E+00   4   1
   5.008211509889E-01   4   2
   2.340256732576E-01   4   3
   1.459943059457E-01   7   1
   4.978200146186E-01   7   2
   4.107485849032E-01   7   3
