        2       1      27       6       1       2
                                                                                 
 aoints SIFS file created by argos.      colosse3          08:39:35.718 03-Nov-17
       27
     a
        2    4096    3272    4096    2700       0
     1O__1s    2O__1s    3O__1s    4O__2p    5O__2p    6O__2p    7O__2p    8O__2p
     9O__2p   10C__1s   11C__1s   12C__1s   13C__2p   14C__2p   15C__2p   16C__2p
    17C__2p   18C__2p   19O__1s   20O__1s   21O__1s   22O__2p   23O__2p   24O__2p
    25O__2p   26O__2p   27O__2p
       -1
   1.001900095342E-02   7   1
   3.290897243406E-01   7   2
   9.622401135333E-01   7   3
  -1.125082834556E+00   7   4
  -1.125082834556E+00   8   5
  -1.125082834556E+00   9   6
  -2.243343030000E+00   7   7
  -2.243343030000E+00   8   8
  -2.243343030000E+00   9   9
  -6.231456584033E-06  10   1
  -4.274431385513E-03  10   2
  -8.834907718226E-03  10   3
  -8.574541452981E-03  10   4
  -1.159355009691E-02  10   7
  -4.956501088423E-02  11   1
  -2.695432946927E-01  11   2
  -3.054201892919E-01  11   3
  -2.429828293671E-01  11   4
  -2.099934015658E-01  11   7
  -1.144717704890E-01  12   1
  -5.669707314535E-01  12   2
  -7.857736385943E-01  12   3
  -9.280483398473E-02  12   4
  -3.040311434660E-02  12   7
   1.024619019451E-01  13   1
   4.613129887068E-01  13   2
   5.182980297811E-01  13   3
   3.415360075199E-01  13   4
  -1.419397253218E-01  14   5
  -1.419397253218E-01  15   6
   4.263146883226E-01  13   7
  -2.018760202755E-01  14   8
  -2.018760202755E-01  15   9
   2.093048736633E-01  16   1
   9.955516701480E-01  16   2
   1.424069220585E+00  16   3
  -1.165777515287E-01  16   4
  -3.132704171491E-01  17   5
  -3.132704171491E-01  18   6
  -2.523320209173E-01  16   7
  -7.645439253633E-01  17   8
  -7.645439253633E-01  18   9
   9.483174787055E-02  13  10
   6.854072419001E-01  13  11
   6.935557168139E-01  13  12
   1.593114662704E-02  16  10
   5.022096855480E-01  16  11
   1.217289647188E+00  16  12
   1.258276095717E-08  19   2
   1.818463364466E-03  19   3
